DAY,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100-104,105-109,gr109
0,1,0,1,0,0,1,3,3,2,3,6,8,16,27,42,44,40,52,55,30,4,0,0
1,2,0,2,1,0,1,5,5,4,9,10,16,32,45,82,94,88,95,104,55,11,0,0
2,4,0,2,1,0,1,5,6,12,14,20,27,40,64,127,151,131,145,149,83,19,0,0
3,5,0,2,1,1,2,5,10,16,17,25,35,49,88,159,207,176,193,207,101,23,0,0
4,5,0,3,1,2,2,5,11,17,22,31,50,68,111,200,244,240,248,252,125,28,2,0
5,6,0,3,1,2,2,6,13,22,23,37,65,86,134,234,285,285,296,293,148,32,2,0
6,6,0,4,1,3,2,7,14,22,27,43,74,100,156,273,333,327,357,348,174,35,2,0
7,9,0,4,1,3,3,9,15,26,32,46,84,118,176,300,381,388,400,426,211,39,3,0
8,10,0,4,1,4,3,9,16,29,36,48,93,134,193,347,430,442,445,470,239,47,3,0
9,10,0,4,1,5,4,10,17,29,40,50,102,152,218,384,478,495,492,521,270,54,3,0
10,11,0,4,1,5,4,10,19,33,46,54,114,163,240,410,516,541,550,569,297,60,3,0
11,12,0,4,1,5,4,11,20,36,51,60,124,176,265,455,559,601,592,626,317,69,4,0
12,13,1,4,2,5,4,11,21,38,53,71,133,186,285,493,614,645,643,671,346,72,4,0
13,13,1,4,2,6,5,11,22,39,57,75,145,199,306,534,652,697,692,730,364,77,4,0
14,14,1,4,2,6,5,12,23,45,63,82,154,216,326,573,711,748,739,781,392,86,5,0
15,15,2,4,2,6,6,14,24,50,69,89,158,233,356,605,750,786,773,828,417,87,5,0
16,16,2,4,2,7,7,14,24,51,74,93,166,242,385,647,794,832,825,884,436,94,5,0
17,16,2,4,2,8,9,14,26,52,80,100,173,244,406,680,838,881,866,942,459,98,6,0
18,16,2,4,2,8,9,14,28,53,85,105,187,259,429,724,875,927,919,995,488,101,6,0
19,18,2,4,2,9,10,15,29,53,88,112,193,271,451,761,941,962,979,1053,514,106,7,0
20,20,2,5,2,11,11,15,29,57,96,119,210,288,477,797,985,1012,1038,1104,549,109,7,0
21,20,2,6,2,14,12,16,30,59,101,125,216,297,499,839,1024,1057,1086,1153,566,117,7,0
22,21,2,6,2,14,12,18,30,64,106,130,223,310,529,876,1081,1105,1133,1201,599,122,7,0
23,22,2,6,3,14,13,19,31,66,109,142,234,325,554,907,1118,1153,1192,1258,622,130,8,0
24,24,2,6,3,15,13,21,32,68,115,149,242,335,581,940,1172,1209,1239,1313,643,134,8,0
25,26,2,6,3,15,13,22,33,72,119,158,253,347,604,973,1217,1264,1292,1345,665,136,8,0
26,28,2,6,3,15,13,24,37,74,129,162,265,364,626,1009,1250,1306,1338,1405,697,141,8,0
27,28,2,6,3,17,13,26,38,77,132,171,272,379,644,1042,1306,1349,1387,1461,724,147,8,0
28,28,2,6,3,17,13,29,40,82,134,176,285,391,672,1077,1361,1392,1441,1519,742,151,8,0
29,28,2,6,4,18,13,30,43,82,137,180,295,403,692,1125,1405,1443,1491,1568,766,156,8,0
30,29,2,6,4,18,14,31,44,83,142,184,304,412,723,1162,1451,1485,1537,1632,792,163,8,0
31,29,2,6,4,18,17,31,45,83,145,185,316,425,744,1209,1492,1550,1600,1679,822,172,8,0
32,29,2,7,4,19,17,31,45,84,148,192,323,439,765,1248,1542,1602,1659,1743,851,178,9,0
33,31,2,7,4,20,17,32,47,84,153,201,330,451,791,1295,1586,1653,1731,1795,871,183,9,0
34,32,2,7,5,21,19,33,49,84,156,204,337,464,815,1334,1637,1713,1783,1844,901,193,9,0
35,32,2,7,5,21,19,35,51,85,159,210,342,474,841,1379,1686,1760,1837,1886,921,196,10,0
36,33,2,7,5,21,21,35,51,86,161,216,353,486,879,1424,1727,1802,1887,1931,947,201,11,0
37,34,2,7,5,21,22,36,52,91,162,222,364,500,914,1466,1788,1844,1933,1992,968,207,11,0
38,34,2,7,6,21,24,39,55,94,167,228,375,520,933,1496,1829,1896,1984,2037,998,212,11,0
39,35,2,7,6,21,25,39,57,97,169,235,383,529,961,1529,1878,1945,2034,2086,1027,216,11,0
40,36,2,7,7,22,25,39,58,104,173,242,389,542,992,1567,1926,1988,2076,2134,1056,220,11,0
41,38,3,7,7,23,26,40,59,108,177,246,402,564,1017,1619,1983,2037,2132,2212,1077,226,11,0
42,39,3,7,7,23,27,40,61,110,179,250,409,576,1040,1667,2033,2088,2203,2285,1103,234,12,0
43,39,3,7,8,24,27,41,62,110,183,260,414,592,1054,1699,2081,2137,2247,2344,1136,243,12,0
44,39,3,7,8,24,27,41,63,115,187,266,418,604,1071,1739,2128,2192,2281,2398,1164,251,12,0
45,40,3,7,8,26,28,43,64,118,190,272,431,616,1088,1786,2181,2229,2333,2467,1188,254,12,0
46,40,3,7,9,27,29,44,65,121,194,281,438,626,1104,1813,2220,2287,2381,2521,1206,255,12,0
47,42,3,7,9,27,30,44,66,123,197,286,448,637,1127,1846,2270,2339,2435,2575,1242,260,12,0
48,42,3,7,10,28,30,46,67,126,203,291,458,655,1146,1869,2326,2386,2490,2637,1263,266,13,0
49,42,4,7,11,28,30,49,71,129,209,295,467,670,1170,1899,2383,2444,2543,2698,1291,270,13,0
50,42,4,7,11,28,30,50,71,130,215,299,475,687,1190,1941,2427,2496,2597,2746,1325,275,13,0
51,43,4,7,11,28,30,50,73,130,222,305,484,705,1218,1969,2475,2543,2656,2794,1351,277,14,0
52,44,5,7,12,28,31,50,73,133,228,310,494,720,1245,2010,2525,2596,2697,2842,1365,281,14,0
53,45,6,7,12,28,31,50,75,135,234,311,504,731,1270,2048,2560,2636,2759,2896,1396,285,14,0
54,47,6,7,12,28,32,52,79,136,239,317,517,743,1302,2104,2600,2684,2816,2956,1412,289,14,0
55,48,8,8,12,28,32,52,81,140,240,322,526,750,1333,2140,2642,2741,2872,3003,1447,295,14,0
56,49,8,8,12,28,33,53,82,140,241,328,534,756,1359,2179,2699,2796,2920,3058,1476,297,14,0
57,50,8,8,12,28,35,54,84,140,246,333,539,770,1387,2203,2744,2833,2979,3115,1493,303,14,0
58,50,8,8,12,29,35,57,87,145,248,339,550,784,1421,2233,2793,2880,3025,3159,1518,305,14,0
59,50,9,8,12,31,36,57,88,145,253,341,559,798,1455,2275,2839,2921,3072,3213,1542,310,14,0
60,51,9,8,12,32,37,58,92,146,261,350,574,813,1477,2306,2896,2969,3138,3272,1565,313,14,0
61,51,9,8,12,32,37,60,95,147,263,352,586,828,1507,2349,2935,3011,3190,3332,1583,318,14,0
62,51,9,8,12,32,38,61,96,148,271,361,596,843,1540,2394,2992,3058,3250,3393,1608,325,14,0
63,52,9,9,12,34,39,64,100,149,275,363,606,858,1561,2432,3034,3096,3311,3455,1631,330,14,0
64,52,9,10,12,34,39,64,100,150,280,366,617,873,1582,2464,3087,3144,3350,3499,1665,333,14,0
65,53,9,10,13,34,40,65,101,154,283,373,628,885,1610,2507,3133,3187,3407,3537,1701,336,15,0
66,53,9,10,13,34,40,65,105,157,283,378,639,894,1629,2535,3171,3227,3455,3584,1726,342,15,0
67,54,9,10,13,35,41,69,105,159,286,384,650,902,1666,2570,3225,3269,3501,3627,1751,346,15,0
68,55,9,10,13,35,43,69,108,162,293,389,653,916,1691,2606,3271,3323,3548,3681,1772,354,17,0
69,55,9,10,14,35,43,70,108,166,296,394,659,931,1707,2645,3314,3375,3593,3738,1793,358,17,0
70,55,9,11,14,35,43,72,112,166,299,400,666,947,1738,2686,3366,3432,3639,3792,1813,361,17,0
71,56,11,11,14,35,43,73,112,171,301,406,677,952,1757,2709,3421,3469,3682,3838,1838,363,17,0
72,57,11,11,14,35,45,73,113,171,307,410,690,963,1790,2740,3480,3511,3739,3902,1859,365,17,0
73,57,11,11,15,36,45,74,114,171,312,417,695,979,1822,2780,3526,3552,3801,3950,1891,368,17,0
74,57,11,11,15,36,47,76,115,172,313,425,707,995,1846,2818,3570,3601,3858,4008,1909,375,17,0
75,59,12,11,15,37,47,78,117,174,316,434,712,1011,1881,2854,3610,3658,3919,4052,1934,380,17,0
76,59,12,11,15,37,49,79,118,177,318,444,724,1025,1904,2895,3657,3704,3985,4093,1956,383,17,0
77,61,12,11,15,37,50,81,121,181,320,452,738,1035,1936,2932,3698,3750,4043,4148,1984,386,17,0
78,62,14,11,15,38,51,81,121,184,324,456,746,1046,1954,2975,3734,3798,4081,4197,2016,392,17,0
79,63,14,11,15,38,51,83,123,184,327,465,762,1060,1978,3014,3786,3841,4138,4250,2030,398,17,0
80,63,14,11,15,39,51,83,125,184,331,469,772,1069,2012,3045,3851,3885,4188,4298,2056,404,17,0
81,63,14,11,15,40,52,86,125,185,333,476,781,1083,2040,3084,3899,3929,4241,4343,2082,408,17,0
82,65,14,11,15,40,52,87,127,185,337,485,790,1097,2064,3124,3958,3986,4303,4406,2111,413,17,0
